59 1425 2578 34 0 0 0 0 30 3363 703 0 0 0 0 0 491 3317 288 0 0 0 0 0
21 2519 641 639 243 30 1 2 74 2836 710 436 27 10 2 1 121 3064 532 346 21 9 2 1
0 2795 741 455 71 29 4 1 9 3050 713 240 54 26 3 1 7 3091 720 193 54 27 3 1
10 1110 1829 649 91 112 246 49 16 1287 1746 564 84 112 241 46 16 1234 1788 575 82 110 239 52
699 729 1286 652 86 145 485 14 759 821 1289 508 85 153 470 11 759 783 1299 533 85 144 477 16
2165 1705 128 45 32 21 0 0 2238 1690 76 47 31 14 0 0 2277 1647 79 45 33 15 0 0
4 780 1808 1038 399 67 0 0 33 2212 1506 345 0 0 0 0 804 2288 887 117 0 0 0 0
0 330 1112 1138 1323 193 0 0 17 1145 1411 1443 80 0 0 0 785 858 1348 1105 0 0 0 0
109 746 775 1907 505 54 0 0 182 1117 1317 1438 42 0 0 0 731 818 1362 1166 19 0 0 0
0 103 436 437 248 493 1564 815 2 123 419 440 249 501 1593 769 33 121 390 440 229 480 1487 916
351 33 158 105 140 387 1735 1187 365 20 158 105 143 397 1874 1034 365 19 158 105 133 367 1686 1263
4096 0 0 0 0 0 0 0 4096 0 0 0 0 0 0 0 4096 0 0 0 0 0 0 0
18 2647 1229 97 78 27 0 0 103 3795 136 62 0 0 0 0 2924 1070 79 23 0 0 0 0
72 278 2758 563 379 11 13 22 93 3005 768 180 7 14 8 21 2980 216 773 79 7 13 7 21
658 1687 1290 169 133 36 33 90 866 2756 89 106 135 26 33 85 3228 410 77 105 135 24 33 84
560 1332 1724 351 43 34 26 26 609 2580 450 343 29 40 19 26 2772 352 474 366 50 38 21 23
407 1404 1724 376 120 54 10 1 423 2742 374 376 120 50 10 1 2875 176 433 406 138 57 10 1
1404 2692 0 0 0 0 0 0 1526 2570 0 0 0 0 0 0 3932 147 17 0 0 0 0 0
1410 1735 670 134 43 95 9 0 1115 2299 444 99 35 101 3 0 1953 1133 676 175 54 91 14 0
1140 1220 1076 315 185 93 50 17 1032 1626 805 295 186 86 49 17 1302 1277 797 300 205 133 62 20
893 860 1322 497 203 164 120 37 1006 1034 1228 329 201 161 112 25 1061 970 1194 354 196 182 108 31
1150 569 1000 548 383 116 129 201 1173 685 1112 439 259 109 127 192 1130 736 1125 409 260 109 130 197
1014 790 1233 622 98 63 42 234 1188 1442 973 106 60 59 44 224 1715 1112 726 150 65 62 44 222
1143 1494 1112 277 66 4 0 0 1355 2475 233 30 3 0 0 0 3329 610 89 42 11 6 7 2
